feature,importance
CD138_mean_prob,0.02702696650718171
Transgelin_spatial_var,0.025965258305038402
CK_mean_prob,0.025260379129241162
Caspase3-D_mean_prob,0.024898240784453286
DAPI_mean_prob,0.0238212784148298
Transgelin_mean_prob,0.023794479985910395
CD20_mean_prob,0.0231290410995656
PD-1_mean_prob,0.022827798767351904
PHH3-B_mean_prob,0.022543175101274338
Tryptase_spatial_var,0.022529482559109377
CD34_mean_prob,0.022001662238654483
DAPI_spatial_var,0.020887041595327234
CK_spatial_var,0.02073591952235249
CD4_mean_prob,0.02047667944948653
Actin-D_spatial_var,0.01997223719522347
Tryptase_mean_prob,0.019503694608124345
Caspase3-D_positive_frac,0.01920258653607063
CD34_spatial_var,0.019050503580420555
CD3_mean_prob,0.018999480852947306
CD14_mean_prob,0.01861080171064427
PD-L1_mean_prob,0.0182295430973192
CK_positive_frac,0.01800071888274921
DAPI_positive_frac,0.01758053311315723
CD138_spatial_var,0.017422761078386636
Caspase3-D_spatial_var,0.017288200777070578
CD20_spatial_var,0.016919811807144712
PHH3-B_spatial_var,0.016869838144250592
Actin-D_mean_prob,0.016836936609251674
CD4_positive_frac,0.016801259775995617
PHH3-B_positive_frac,0.016488896800829794
Ki67_spatial_var,0.016368457651762095
CD3_positive_frac,0.015831974756556382
CD138_positive_frac,0.01571771339362543
CD14_spatial_var,0.015384298451096673
CD8_mean_prob,0.015369143199986385
PD-1_spatial_var,0.015164192287366547
CD20_positive_frac,0.015033234264160061
Ki67_mean_prob,0.014455401643090381
CD16_mean_prob,0.014421485749976455
CD16_spatial_var,0.014397103901669516
PD-1_positive_frac,0.014115697822514874
PD-L1_spatial_var,0.013568254455590255
CD3_spatial_var,0.013520130297650956
CD11c_spatial_var,0.01332664557480033
CD11c_mean_prob,0.013250461370863123
CD68_mean_prob,0.013232379047276768
PD-L1_positive_frac,0.012818354417153148
T-bet_mean_prob,0.012798294267156491
T-bet_spatial_var,0.012498174797917759
CD68_spatial_var,0.012395588759175605
CD4_spatial_var,0.012280016541377663
CD8_spatial_var,0.011314484970691607
CD14_positive_frac,0.010238935115429863
Actin-D_positive_frac,0.010184826301475011
Ki67_positive_frac,0.009573874481052779
CD11c_positive_frac,0.009151043129989265
CD68_positive_frac,0.008859572651750499
CD8_positive_frac,0.007475826563554788
T-bet_positive_frac,0.00747389522278506
Transgelin_positive_frac,0.00662001427497043
CD16_positive_frac,0.0051566623019897225
CD34_positive_frac,0.0032050353364805055
Tryptase_positive_frac,0.001123618969701015
