feature,importance
R_var,0.03916087140214968
R_mean,0.03879468124482733
B_mean,0.035418672791977766
G_mean,0.03133843784846914
CK_mean_prob,0.024767350432246857
B_var,0.024104707998767596
Transgelin_spatial_var,0.02338898721501107
CD138_mean_prob,0.022970015860790106
G_var,0.020511557329247965
Caspase3-D_mean_prob,0.01991433493072409
PD-1_mean_prob,0.019169569756190635
Transgelin_mean_prob,0.01900243866649686
PHH3-B_mean_prob,0.018895248873280802
CD34_mean_prob,0.01823390205834442
CD20_mean_prob,0.018210994091286823
CK_spatial_var,0.01782430315579337
Tryptase_spatial_var,0.017706527555818193
Actin-D_spatial_var,0.01682057199861879
DAPI_spatial_var,0.01668742232946266
DAPI_mean_prob,0.01645598341671661
CD3_mean_prob,0.016127536993903215
CD4_mean_prob,0.015846044587435586
CD34_spatial_var,0.015671021448907068
CK_positive_frac,0.015558637614200914
Caspase3-D_positive_frac,0.015439141203295755
PHH3-B_positive_frac,0.014507573557944664
DAPI_positive_frac,0.014451683935321135
CD14_mean_prob,0.014204742250111658
PD-L1_mean_prob,0.01409836468393533
Tryptase_mean_prob,0.013905484857829171
Caspase3-D_spatial_var,0.013822305088470987
CD138_spatial_var,0.013748298268799825
CD4_positive_frac,0.013690451571953574
PHH3-B_spatial_var,0.013609831120653268
CD138_positive_frac,0.013514556671301947
Ki67_spatial_var,0.013504552005629939
Actin-D_mean_prob,0.01333522559439563
CD20_positive_frac,0.013253660066154619
CD3_positive_frac,0.01322625977244201
CD20_spatial_var,0.013212062765402106
CD14_spatial_var,0.012867903096947311
PD-1_spatial_var,0.01222015887835829
Ki67_mean_prob,0.011958160729810393
CD16_mean_prob,0.011663343371717089
CD16_spatial_var,0.011492880585124883
CD8_mean_prob,0.011429525808280317
CD3_spatial_var,0.011223399216124204
PD-L1_spatial_var,0.011215939669048273
CD11c_spatial_var,0.01073091494443454
PD-1_positive_frac,0.010645243070475933
CD11c_mean_prob,0.010495482681171104
PD-L1_positive_frac,0.009754872114563877
CD4_spatial_var,0.00973413522982731
CD68_mean_prob,0.009524596231026035
T-bet_spatial_var,0.009472201358502077
CD8_spatial_var,0.009407248646715105
T-bet_mean_prob,0.009333671948669558
CD68_spatial_var,0.009021268750949498
CD14_positive_frac,0.008782913012271345
Ki67_positive_frac,0.008244800937348359
Actin-D_positive_frac,0.007582738862375975
CD11c_positive_frac,0.0075344385469680725
CD68_positive_frac,0.007257646078622704
CD8_positive_frac,0.0060937567469599
T-bet_positive_frac,0.005806183437415756
Transgelin_positive_frac,0.004937475963066725
CD16_positive_frac,0.004046086365502578
CD34_positive_frac,0.0024285972266726943
Tryptase_positive_frac,0.0009904034767410457
